Model,R²,RMSE,Spearman ρ,Pearson r,N
hydrophobic-balance,0.6160521756236641,0.5341071909507061,0.7193259596949759,0.7848899130602099,83
flory-huggins,0.585250186724708,0.5551181398539494,0.7056289110931484,0.765016461734457,83
polarizability,0.5523951589161904,0.5766863967633823,0.7241659817537832,0.7432329102752314,83
unifac,0.02330216155197573,0.8390893495646039,0.2317322727800976,0.1526504554594444,74
